#LINK<-- ファイルタイプの指定,http://linkdata.org/upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,Digital Tale of Genji,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,genji,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#namespace,bf,http://id.loc.gov/ontologies/bibframe/,,,,,,,,,,,,,,,,,,,,,,,,,,,
#namespace,bibo,http://bibliographic-ontology.org/bibo/,,,,,,,,,,,,,,,,,,,,,,,,,,,
#namespace,dc,http://purl.org/dc/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,
#namespace,dcterms,http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,,,,,,,,,,,
#namespace,geo,http://www.w3.org/2003/01/geo/wgs84_pos#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#namespace,karuta,https://github.com/tnanako/karutalod#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#namespace,rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#namespace,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#namespace,genji,http://example.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,
#property,karuta:text,karuta:historicalTranscription,dc:creator,,dcterms:creator,karuta:textOfTori,karuta:firstHalf,karuta:transcriptionOfFirstHalf,karuta:secondHalf,genji:utaNumber,genji:volume,genji:remark,karuta:romanTranscription,dcterms:creator,bibo:number,karuta:textOfYomi,karuta:imageOfYomi,karuta:uniqueSyllable,karuta:transcriptionOfSecondHalf,karuta:bonze,dc:source,dc:subject,dc:spacial,geo:lat,geo:long,dcterms:refenreces,bf:translation,dcterms:hasFormat,dcterms:isPartOf
#object_type_xsd,string:ja,string:ja,string:ja,,string,string:ja,string:ja,string:ja,string:ja,string:ja,string:ja,string,string:en,string,string,string:ja,string,string:ja,string:ja,string,string,string,string,float,float,string,string,string,string
#property_context,Assertion,Assertion,Assertion,,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
genji_001,いときなき はつ元結に 長き世を 契るこゝろは 結びこめつや,いときなき はつもとゆひに なかきよを ちきるこころは むすびこめつや,桐壺帝,1,http://linkdata.org/resource/rdf1s8953i#kajin_001,ちきるこころは むすびこめつや,いときなき はつ元結に 長き世を,いときなき はつもとゆひに なかきよを,契るこゝろは 結びこめつや,8,桐壺,5の贈歌,itokinaki hatsumotoyuhini nakakiyoo chikirukokoroha musubikometsuya,001,1,いときなき はつ元結に 長き世を 契るこゝろは 結びこめつや,,,ちきるこころは むすびこめつや,,,,,,,,,http://linkdata.org/resource/rdf1s8955i#audio_google_001,
genji_002,かぎりとて 別るゝ道の 悲しきに いかまほしきは 命なりけり,かぎりとて わかるるみちの かなしきに いかまほしきは いのちなりけり,桐壺更衣,2,http://linkdata.org/resource/rdf1s8953i#kajin_002,いかまほしきは いのちなりけり,かぎりとて 別るゝ道の 悲しきに,かぎりとて わかるるみちの かなしきに,いかまほしきは 命なりけり,,,,kagiritote wakarurumichino kanashikini ikamahoshikiha inochinarikeri,002,2,かぎりとて 別るゝ道の 悲しきに いかまほしきは 命なりけり,,,いかまほしきは いのちなりけり,,,,,,,,,http://linkdata.org/resource/rdf1s8955i#audio_google_002,
genji_003,鈴虫の こゑのかぎりを つくしても 長き夜あかず ふる涙かな,すずむしの こえのかぎりを つくしても ながきよあかず ふるなみだかな,靫負命婦,3,http://linkdata.org/resource/rdf1s8953i#kajin_003,ながきよあかず ふるなみだかな,鈴虫の こゑのかぎりを つくしても,すずむしの こえのかぎりを つくしても,長き夜あかず ふる涙かな,,,,suzumushino koenokagirio tsukushitemo nagakiyoakazu furunamidakana,003,3,鈴虫の こゑのかぎりを つくしても 長き夜あかず ふる涙かな,,,ながきよあかず ふるなみだかな,,,,,,,,,http://linkdata.org/resource/rdf1s8955i#audio_google_003,
genji_004,いとゞしく 虫の音しげき 淺茅生に 雲おきそふる 雲のうへ人,いとどしく むしのねしげき あさじうに くもおきそふる くものうへびと,更衣母,4,http://linkdata.org/resource/rdf1s8953i#kajin_004,くもおきそふる くものうへびと,いとゞしく 虫の音しげき 淺茅生に,いとどしく むしのねしげき あさじうに,雲おきそふる 雲のうへ人,,,,itodoshiku mushinoneshigeki asajiuni kumookisofuru kumonouhebito,004,4,いとゞしく 虫の音しげき 淺茅生に 雲おきそふる 雲のうへ人,,,くもおきそふる くものうへびと,,,,,,,,,http://linkdata.org/resource/rdf1s8955i#audio_google_004,
genji_005,結びつる 心も深き もとゆひに こきむらさきの 色しあせずは,むすびつる こころもふかき もとゆひに こきむらさきの いろしあせずは,引入太政大臣,5,http://linkdata.org/resource/rdf1s8953i#kajin_005,こきむらさきの いろしあせずは,結びつる 心も深き もとゆひに,むすびつる こころもふかき もとゆひに,こきむらさきの 色しあせずは,,,,musubitsuru kokoromofukaki motoyuhini kokimurasakino iroshiasezuha,005,5,結びつる 心も深き もとゆひに こきむらさきの 色しあせずは,,,こきむらさきの いろしあせずは,,,,,,,,,http://linkdata.org/resource/rdf1s8955i#audio_google_005,
genji_006,つれなさを 恨みもはてぬ 東雲に とりあへぬまで 驚かすらん,つれなさを うらみもはてぬ しののめに とりあへぬまで おどろかすらん,光源氏君,6,http://linkdata.org/resource/rdf1s8953i#kajin_006,とりあへぬまで おどろかすらん,つれなさを 恨みもはてぬ 東雲に,つれなさを うらみもはてぬ しののめに,とりあへぬまで 驚かすらん,,,,tsurenasao uramimohatenu shinonomeni toriahenumade odorokasuran,006,6,つれなさを 恨みもはてぬ 東雲に とりあへぬまで 驚かすらん,,,とりあへぬまで おどろかすらん,,,,,,,,,http://linkdata.org/resource/rdf1s8955i#audio_google_006,
genji_007,手を折て あひみし事を 數ふれば これ一つやは 君がうきふし,てをおりて あひみしことを かぞふれば これひとつやは きみがうきふし,左馬頭,7,http://linkdata.org/resource/rdf1s8953i#kajin_007,これひとつやは きみがうきふし,手を折て あひみし事を 數ふれば,てをおりて あひみしことを かぞふれば,これ一つやは 君がうきふし,,,,teoorite ahimishikotoo kazofureba korehitotsuyaha kimigaukifushi,007,7,手を折て あひみし事を 數ふれば これ一つやは 君がうきふし,,,これひとつやは きみがうきふし,,,,,,,,,http://linkdata.org/resource/rdf1s8955i#audio_google_007,
genji_008,うきふしを 心ひとつに 數へきて こや君が手を 別るべきをり,うきふしを こころひとつに かぞへきて こやきみがてを わかるべきをり,指喰女,8,http://linkdata.org/resource/rdf1s8953i#kajin_008,こやきみがてを わかるべきをり,うきふしを 心ひとつに 數へきて,うきふしを こころひとつに かぞへきて,こや君が手を 別るべきをり,,,,ukifushio kokorohitotsuni kazohekite koyakimigateo wakarubekiori,008,8,うきふしを 心ひとつに 數へきて こや君が手を 別るべきをり,,,こやきみがてを わかるべきをり,,,,,,,,,http://linkdata.org/resource/rdf1s8955i#audio_google_008,
genji_009,琴の音も 月もえならぬ 宿ながら つれなき人を 引やとめける,ことのねも つきもえならぬ やどながら つれなきひとを ひきやとめける,琴音殿上人,9,http://linkdata.org/resource/rdf1s8953i#kajin_009,つれなきひとを ひきやとめける,琴の音も 月もえならぬ 宿ながら,ことのねも つきもえならぬ やどながら,つれなき人を 引やとめける,,,,kotononemo tsukimoenaranu yadonagara tsurenakihitoo hikiyatomekeru,009,9,琴の音も 月もえならぬ 宿ながら つれなき人を 引やとめける,,,つれなきひとを ひきやとめける,,,,,,,,,http://linkdata.org/resource/rdf1s8955i#audio_google_009,
genji_010,木枯に 吹あはすめる 笛なれば 引きとゞむべき ことの葉もなし,こがらしに ふきあはすめる ふえなれば ひきとどむべき ことのはもなし,木枯女,10,http://linkdata.org/resource/rdf1s8953i#kajin_010,ひきとどむべき ことのはもなし,木枯に 吹あはすめる 笛なれば,こがらしに ふきあはすめる ふえなれば,引きとゞむべき ことの葉もなし,,,,kogarashini fukiahasumeru fuenareba hikitodomubeki kotonohamonashi,010,10,木枯に 吹あはすめる 笛なれば 引きとゞむべき ことの葉もなし,,,ひきとどむべき ことのはもなし,,,,,,,,,http://linkdata.org/resource/rdf1s8955i#audio_google_010,
